Name,Інгредієнти,Доступність,Лінк,Пора,"Способи ",Теги
Щавлевий борщ,"https://www.notion.so/78381065f57849879997bfd3084e0be7, https://www.notion.so/f167030b23334191ae3ecaa55c65dc9d, https://www.notion.so/bee7e7b8ecc14a1d9e852f66e7ecb80d, https://www.notion.so/f0fe55c76f8f4953b99c98365d582624, https://www.notion.so/d7de27cca9e24be8a73e869fca54069a, https://www.notion.so/ac44139799574f2dad6f73854bd42eed, https://www.notion.so/710d760d1d2f4bed8e229394d3f43b9d",0.8571428571428571,,"Вечеря , Обід, Полуденок",Варіння,Борщ
Макарони з печерицями,"https://www.notion.so/df5ce0da510f4f5f96bcc7ca50ed6985, https://www.notion.so/681dc1069f3c40f2bc79d49b21133f18, https://www.notion.so/ac44139799574f2dad6f73854bd42eed, https://www.notion.so/6d0e7d3d369e46498f65e47aed0dd3dd, https://www.notion.so/49a64d687dee4712a2ca55fbe73c10f0",1,,"Вечеря , Обід","Варіння, Смаження",Паста
"Деруни ","https://www.notion.so/78381065f57849879997bfd3084e0be7, https://www.notion.so/ac44139799574f2dad6f73854bd42eed, https://www.notion.so/bee7e7b8ecc14a1d9e852f66e7ecb80d, https://www.notion.so/11a6343f425d4626b4812383d6d4f946",1,,"Вечеря , Обід, Полуденок",Смаження,
Ньокі,"https://www.notion.so/78381065f57849879997bfd3084e0be7, https://www.notion.so/bee7e7b8ecc14a1d9e852f66e7ecb80d, https://www.notion.so/254661db38224a1cae654ba2650bf915, https://www.notion.so/11a6343f425d4626b4812383d6d4f946, https://www.notion.so/6d0e7d3d369e46498f65e47aed0dd3dd",1,https://klopotenko.com/kartoplyani-noki-oryginalnyj-reczept-italijskoyi-stravy/,"Вечеря , Обід",Варіння,
"Бутерброд зі шпротами ","https://www.notion.so/e256485364e5482ab256cc066e258999, https://www.notion.so/cea0db7c83264739bd297fd75e2378c6, https://www.notion.so/3a9683d472d54ac48ebef3e702d5b9c0",0.6666666666666666,,"Вечеря , Полуденок, Сніданок ",Готове,Швидко
Вівсянка,"https://www.notion.so/70b08cc5ec2a44bab802154263c5bc6b, https://www.notion.so/cea0db7c83264739bd297fd75e2378c6",0.5,,"Сніданок ",Готове,Швидко
Бутерброд з ковбасою,"https://www.notion.so/e256485364e5482ab256cc066e258999, https://www.notion.so/cea0db7c83264739bd297fd75e2378c6, https://www.notion.so/5dfd33cfb19a4bfb9a16f24cc295ae77",1,,"Вечеря , Полуденок, Сніданок ",Готове,Швидко
Печиво з молоком,"https://www.notion.so/024a31e4d0064cc09a1844979ee7d1ef, https://www.notion.so/689d8251d9394286ad53d7e1ec58f4a1",0.5,,"Вечеря , Полуденок",Готове,"Солодке, Швидко"
Сочевиця зі шпротами,"https://www.notion.so/c29b936da8704d8dbc3cd5a6cc003e67, https://www.notion.so/3a9683d472d54ac48ebef3e702d5b9c0, https://www.notion.so/cea0db7c83264739bd297fd75e2378c6",0.3333333333333333,,"Вечеря , Обід, Полуденок",Варіння,
"Паста з грибами ","https://www.notion.so/e846294e78f345d58676768de5bf8530, https://www.notion.so/681dc1069f3c40f2bc79d49b21133f18, https://www.notion.so/ac44139799574f2dad6f73854bd42eed, https://www.notion.so/6d0e7d3d369e46498f65e47aed0dd3dd, https://www.notion.so/f5ed38a6a1c1476da08e8c9163e0fda5, https://www.notion.so/89faed3137b349d798a55a2c73fc09a5",0.6666666666666666,,"Вечеря , Обід","Варіння, Смаження",Паста
Рис з яйцем,"https://www.notion.so/e375efdbe8a8499dab208a0ffae16f20, https://www.notion.so/bee7e7b8ecc14a1d9e852f66e7ecb80d, https://www.notion.so/c55bf56b7fd948cea4964f797e8c13f4",1,,"Вечеря , Полуденок",Варіння,Рис
Оладки,"https://www.notion.so/bee7e7b8ecc14a1d9e852f66e7ecb80d, https://www.notion.so/11a6343f425d4626b4812383d6d4f946, https://www.notion.so/f08cea28e977416d9e4235ca99ed7868, https://www.notion.so/866c081dcbe146dd840fca748ddf8850, https://www.notion.so/b11eb9a9f243438f9f95b70d7df04933",0.8,https://klopotenko.com/oladky-budete-reczept-z-yablukamy-ta-rodzynkamy/,"Полуденок, Сніданок ",Смаження,"Солодке, Швидко"
